Well,Linker 1,Part 1,Linker 2,Part 2,Linker 3,Part 3,Linker 4,Part 4,Linker 5,Part 5,Linker 6,Part 6,Linker 7,Part 7,Linker 8,Part 8,Linker 9,Part 9,Linker 10,Part 10
A3,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23106_RiboJ.1,UTR1-RBS1,BASIC_sfGFP_ORF.1,UTR2-RBS1,BASIC_mTagBFP2_ORF.1,UTR3-RBS1,BASIC_mCherry_ORF.1,,,,,,,,,,
B3,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23106_RiboJ.1,UTR1-RBS1,BASIC_sfGFP_ORF.1,UTR2-RBS1,BASIC_mTagBFP2_ORF.1,UTR3-RBS3,BASIC_mCherry_ORF.1,,,,,,,,,,
C3,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23106_RiboJ.1,UTR1-RBS1,BASIC_sfGFP_ORF.1,UTR2-RBS3,BASIC_mTagBFP2_ORF.1,UTR3-RBS1,BASIC_mCherry_ORF.1,,,,,,,,,,
D3,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23106_RiboJ.1,UTR1-RBS1,BASIC_sfGFP_ORF.1,UTR2-RBS3,BASIC_mTagBFP2_ORF.1,UTR3-RBS3,BASIC_mCherry_ORF.1,,,,,,,,,,
E3,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23106_RiboJ.1,UTR2-RBS1,BASIC_mTagBFP2_ORF.1,UTR3-RBS1,BASIC_mCherry_ORF.1,UTR1-RBS1,BASIC_sfGFP_ORF.1,,,,,,,,,,
F3,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23106_RiboJ.1,UTR2-RBS1,BASIC_mTagBFP2_ORF.1,UTR3-RBS3,BASIC_mCherry_ORF.1,UTR1-RBS1,BASIC_sfGFP_ORF.1,,,,,,,,,,
G3,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23106_RiboJ.1,UTR2-RBS3,BASIC_mTagBFP2_ORF.1,UTR3-RBS1,BASIC_mCherry_ORF.1,UTR1-RBS1,BASIC_sfGFP_ORF.1,,,,,,,,,,
H3,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23106_RiboJ.1,UTR2-RBS3,BASIC_mTagBFP2_ORF.1,UTR3-RBS3,BASIC_mCherry_ORF.1,UTR1-RBS1,BASIC_sfGFP_ORF.1,,,,,,,,,,
A4,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23106_RiboJ.1,UTR1-RBS2,BASIC_sfGFP_ORF.1,UTR2-RBS1,BASIC_mTagBFP2_ORF.1,UTR3-RBS1,BASIC_mCherry_ORF.1,,,,,,,,,,
B4,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23106_RiboJ.1,UTR1-RBS2,BASIC_sfGFP_ORF.1,UTR2-RBS1,BASIC_mTagBFP2_ORF.1,UTR3-RBS3,BASIC_mCherry_ORF.1,,,,,,,,,,
C4,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23106_RiboJ.1,UTR1-RBS2,BASIC_sfGFP_ORF.1,UTR2-RBS3,BASIC_mTagBFP2_ORF.1,UTR3-RBS1,BASIC_mCherry_ORF.1,,,,,,,,,,
D4,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23106_RiboJ.1,UTR1-RBS2,BASIC_sfGFP_ORF.1,UTR2-RBS3,BASIC_mTagBFP2_ORF.1,UTR3-RBS3,BASIC_mCherry_ORF.1,,,,,,,,,,
E4,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23106_RiboJ.1,UTR2-RBS1,BASIC_mTagBFP2_ORF.1,UTR3-RBS1,BASIC_mCherry_ORF.1,UTR1-RBS2,BASIC_sfGFP_ORF.1,,,,,,,,,,
F4,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23106_RiboJ.1,UTR2-RBS1,BASIC_mTagBFP2_ORF.1,UTR3-RBS3,BASIC_mCherry_ORF.1,UTR1-RBS2,BASIC_sfGFP_ORF.1,,,,,,,,,,
G4,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23106_RiboJ.1,UTR2-RBS3,BASIC_mTagBFP2_ORF.1,UTR3-RBS1,BASIC_mCherry_ORF.1,UTR1-RBS2,BASIC_sfGFP_ORF.1,,,,,,,,,,
H4,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23106_RiboJ.1,UTR2-RBS3,BASIC_mTagBFP2_ORF.1,UTR3-RBS3,BASIC_mCherry_ORF.1,UTR1-RBS2,BASIC_sfGFP_ORF.1,,,,,,,,,,
A5,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23106_RiboJ.1,UTR1-RBS3,BASIC_sfGFP_ORF.1,UTR2-RBS1,BASIC_mTagBFP2_ORF.1,UTR3-RBS1,BASIC_mCherry_ORF.1,,,,,,,,,,
B5,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23106_RiboJ.1,UTR1-RBS3,BASIC_sfGFP_ORF.1,UTR2-RBS1,BASIC_mTagBFP2_ORF.1,UTR3-RBS3,BASIC_mCherry_ORF.1,,,,,,,,,,
C5,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23106_RiboJ.1,UTR1-RBS3,BASIC_sfGFP_ORF.1,UTR2-RBS3,BASIC_mTagBFP2_ORF.1,UTR3-RBS1,BASIC_mCherry_ORF.1,,,,,,,,,,
D5,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23106_RiboJ.1,UTR1-RBS3,BASIC_sfGFP_ORF.1,UTR2-RBS3,BASIC_mTagBFP2_ORF.1,UTR3-RBS3,BASIC_mCherry_ORF.1,,,,,,,,,,
E5,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23106_RiboJ.1,UTR2-RBS1,BASIC_mTagBFP2_ORF.1,UTR3-RBS1,BASIC_mCherry_ORF.1,UTR1-RBS3,BASIC_sfGFP_ORF.1,,,,,,,,,,
F5,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23106_RiboJ.1,UTR2-RBS1,BASIC_mTagBFP2_ORF.1,UTR3-RBS3,BASIC_mCherry_ORF.1,UTR1-RBS3,BASIC_sfGFP_ORF.1,,,,,,,,,,
G5,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23106_RiboJ.1,UTR2-RBS3,BASIC_mTagBFP2_ORF.1,UTR3-RBS1,BASIC_mCherry_ORF.1,UTR1-RBS3,BASIC_sfGFP_ORF.1,,,,,,,,,,
